year,CA1,CA2,CA3,total,complete_survey,source
1911,66960688,67355817,303574275.25326395,437890780.25326395,TRUE,Cameron 1915
1989,14763664.6599887,44916774.1818664,45311628.73389384,104992067.57574895,TRUE,CDFW 2020
1999,8454910.564055,6517722.91723288,28238067.85411605,43210701.33540393,TRUE,CDFW 2020
2002,5243467.043801436,32486057.06254235,33253609.693925664,70983133.80026945,TRUE,CDFW 2020
2003,3476577.41211586,23084641.4587995,66082586.7146784,92643805.58559376,TRUE,CDFW 2020
2004,4918241.24577187,28896874.24392139,82590352.03636391,116405467.52605718,TRUE,CDFW 2020
2005,2432291.7984321998,23423633.002170898,84150445.13859014,110006369.93919325,TRUE,CDFW 2020
2006,NA,43250621.690289,40646336.39647637,NA,FALSE,CDFW 2020
2008,14775712.534402154,26395509.817487724,40429024.12299482,81600246.47488469,TRUE,CDFW 2020
2009,7600121.39440928,174261.41938722,20264430.350917,28038813.164713502,FALSE,CDFW 2020
2010,3291665.8057101998,36722.805606300004,27086583.903485,30414972.5148015,FALSE,CDFW 2020
2011,NA,NA,226114979.6705152,NA,FALSE,CDFW 2020
2012,NA,NA,31852539.6474263,NA,FALSE,CDFW 2020
2013,298246.840884,NA,9952220.885577617,NA,FALSE,CDFW 2020
2014,923190.04183431,10086356.21488996,6942992.8568998175,17952539.11362409,FALSE,CDFW 2020
2015,653524.4090294801,23712225.0729486,22684095.62057931,47049845.10255739,TRUE,CDFW 2020
2016,2009818.1499953,33954500.2808216,17710894.23170081,53675212.66251771,TRUE,CDFW 2020
